img_path,label
dataset\OWNER2_Panel dents or scratches\KWLU5092204_130930_07.jpg,1
"dataset\OWNER3_Panel aging, rust or breach\KWLU 2120961-2-1.jpg",2
dataset\OWNER1_Door Damage\YMLU2705375_130730_01.jpg,0
dataset\OWNER2_Panel dents or scratches\GESU2358174_130611_01.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU5120456_131004_02.jpg",4
dataset\OWNER2_Panel dents or scratches\GESU3902847_140219_04.jpg,1
dataset\SHIPPER4_Panel or Sidewalls dirts\2920376_0.jpg,7
dataset\OWNER2_Panel dents or scratches\XINU4026318_131004_04.jpg,1
"dataset\OWNER3_Panel aging, rust or breach\TEMU2420311-C.jpg",2
dataset\OWNER1_Door Damage\KWLU2125156_131011_01.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\KWLU 2091903-1.JPG,6
dataset\OWNER2_Panel dents or scratches\GESU 6380833-1.jpg,1
dataset\OWNER1_Door Damage\TRLU3454787_130824_02.jpg,0
dataset\OWNER1_Door Damage\KWLU2090759_140226_04.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\CRXU1433723_130824_02.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\K SEKU 1102063R (2) (Small)_0.jpg,5
dataset\OWNER2_Panel dents or scratches\KWLU5132185_140607_04.jpg,1
dataset\OWNER1_Door Damage\GESU6379508-C.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU1349932_140618_03.jpg",4
dataset\OWNER1_Door Damage\CRXU1726207_130708_02.jpg,0
dataset\OWNER2_Panel dents or scratches\GESU5828800_140617_09.jpg,1
dataset\OWNER4_Placards removal\KWLU4130906-3.jpg,3
dataset\OWNER1_Door Damage\TEMU2421025-1.jpg,0
dataset\OWNER2_Panel dents or scratches\KWLU4070582-4.jpg,1
dataset\OWNER1_Door Damage\GESU2643588_130619_02.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU5092668_131004_05.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU3614589_130812_05.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU1351375_131220_02.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU 2070691-2.JPG",4
dataset\OWNER1_Door Damage\GESU5424710_130617_05.jpg,0
dataset\OWNER1_Door Damage\KWLU5091419-1.jpg,0
dataset\OWNER2_Panel dents or scratches\KWLU5092312_140607_02.jpg,1
dataset\OWNER2_Panel dents or scratches\KWLU5131764_140604_06.jpg,1
dataset\OWNER1_Door Damage\KWLU2092725_131207_03.jpg,0
dataset\OWNER1_Door Damage\KWLU2970219_131207_01.jpg,0
"dataset\SHIPPER1_Floor stains, contamination or cracks\XINU8199292_131007_02.jpg",4
dataset\SHIPPER4_Panel or Sidewalls dirts\GESU 5410044-1.jpg,7
"dataset\OWNER3_Panel aging, rust or breach\KWLU5120287-6.jpg",2
dataset\OWNER2_Panel dents or scratches\KWLU5120820_130723_07.jpg,1
dataset\SHIPPER2_Panel or Sidewall protrusion\XINU8200670_131129_04.jpg,5
dataset\OWNER2_Panel dents or scratches\KWLU2120832_131224_09.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\WFHU1351020- (3).JPG",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU2632602_140219_05.jpg",4
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU3903951_140616_03.jpg",4
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\DSCF0031_0.jpg,6
dataset\OWNER2_Panel dents or scratches\GESU1407700_130528_08.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU6380730_131004_02.jpg",4
dataset\SHIPPER2_Panel or Sidewall protrusion\1702895764244.jpg,5
dataset\OWNER2_Panel dents or scratches\GATU0320683_130904_01.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU5091511_140506_05.jpg",4
dataset\OWNER1_Door Damage\CAXU2996368_140618_05.jpg,0
dataset\OWNER1_Door Damage\KWLU2970184_131118_03.jpg,0
dataset\OWNER1_Door Damage\TGHU6256105-A.jpg,0
dataset\SHIPPER3_Cross member or forklift pocket overweight-deformation\K SEGU 4048676R (4) (Medium)_0.jpg,6
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU2090759_140226_05.jpg",4
dataset\OWNER1_Door Damage\KWLU2070752_140307_04.jpg,0
dataset\OWNER1_Door Damage\GESU6379508-B.jpg,0
dataset\SHIPPER2_Panel or Sidewall protrusion\KWLU5012430-3.jpg,5
"dataset\OWNER3_Panel aging, rust or breach\KWLU3130012-4.jpg",2
dataset\OWNER2_Panel dents or scratches\WFHU1351170_130702_04.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\GESU6380793_131004_07.jpg",4
dataset\OWNER1_Door Damage\KWLU5132971-2.jpg,0
dataset\OWNER1_Door Damage\TEMU2421703_130702_04.jpg,0
dataset\OWNER2_Panel dents or scratches\GESU3262729_140618_03.jpg,1
"dataset\SHIPPER1_Floor stains, contamination or cracks\KWLU5092668_131004_04.jpg",4
dataset\OWNER1_Door Damage\KWLU2970029-1.jpg,0
dataset\OWNER1_Door Damage\KWLU5120820_130723_01.jpg,0
