img_path,label
dataset\owner\KWLU5090053_131004_01.jpg,0
dataset\owner\KWLU2121417_140228_02.jpg,0
dataset\shipper\1562_selected_image.jpg,1
dataset\shipper\GESU6908284_140902_07_9W-1_11zon.jpg,1
dataset\owner\2113_selected_image.jpg,0
dataset\owner\KWLU2092746_131224_06.jpg,0
dataset\owner\GESU 3904670-1.jpg,0
dataset\shipper\2209_selected_image.jpg,1
dataset\shipper\463_selected_image.jpg,1
dataset\owner\537_selected_image.jpg,0
dataset\owner\GESU6379811_140617_02.jpg,0
dataset\shipper\69_selected_image.jpg,1
dataset\shipper\783_selected_image.jpg,1
dataset\shipper\1449_selected_image.jpg,1
dataset\owner\1371_selected_image.jpg,0
dataset\owner\1921_selected_image.jpg,0
dataset\shipper\107_selected_image.jpg,1
dataset\shipper\1685_selected_image.jpg,1
dataset\shipper\1279_selected_image.jpg,1
dataset\owner\KWLU2121269_140624_01.jpg,0
dataset\owner\XINU4026365_131011_10.jpg,0
dataset\shipper\GESU6576683_130930_05.jpg,1
dataset\shipper\KWLU 2070161-3.JPG,1
dataset\shipper\1165_selected_image.jpg,1
dataset\owner\KWLU2121253_140625_01.jpg,0
dataset\shipper\3033_selected_image.jpg,1
dataset\owner\KWLU2070623_130824_03.jpg,0
dataset\shipper\GESU6919360_130726_06.jpg,1
dataset\shipper\3095_selected_image.jpg,1
dataset\shipper\451_selected_image.jpg,1
dataset\owner\2146_selected_image.jpg,0
dataset\shipper\1343_selected_image.jpg,1
dataset\shipper\1478_selected_image.jpg,1
dataset\shipper\268_selected_image.jpg,1
dataset\shipper\3234_selected_image.jpg,1
dataset\shipper\KWLU2070011_131207_04.jpg,1
dataset\shipper\KWLU2121309_140603_05.jpg,1
dataset\shipper\383_selected_image.jpg,1
dataset\owner\1791_selected_image.jpg,0
dataset\owner\GESU6379811_140617_04.jpg,0
dataset\owner\FCIU2459616-2.jpg,0
dataset\shipper\3118_selected_image.jpg,1
dataset\owner\384_selected_image.jpg,0
dataset\shipper\793_selected_image.jpg,1
dataset\shipper\162_selected_image.jpg,1
dataset\shipper\1481_selected_image.jpg,1
dataset\shipper\GESU2833989_130731_04.jpg,1
dataset\owner\518_selected_image.jpg,0
dataset\shipper\1805_selected_image.jpg,1
dataset\owner\CCLU2435576_130528_03.jpg,0
dataset\owner\KWLU2070583_131118_01.jpg,0
dataset\shipper\6_selected_image.jpg,1
dataset\shipper\GESU6380793_131004_07.jpg,1
dataset\shipper\GESU3904114_130624_02.jpg,1
dataset\shipper\785_selected_image.jpg,1
dataset\shipper\1607_selected_image.jpg,1
dataset\owner\1221_selected_image.jpg,0
dataset\owner\KWLU2092561_130603_02.jpg,0
dataset\shipper\1962_selected_image.jpg,1
dataset\owner\GESU3106562_130702_05.jpg,0
dataset\owner\342_selected_image.jpg,0
dataset\owner\KWLU2090580-C.jpg,0
dataset\shipper\232_selected_image.jpg,1
dataset\shipper\1052_selected_image.jpg,1
dataset\owner\917_selected_image.jpg,0
dataset\owner\GESU3905213_130619_04.jpg,0
dataset\shipper\GESU6915792_140617_02.jpg,1
dataset\owner\KWLU2070773_130528_02.jpg,0
dataset\shipper\WFHU5138265_131004_06.jpg,1
dataset\owner\KWLU2092480_131207_04.jpg,0
dataset\shipper\1947_selected_image.jpg,1
dataset\shipper\65_selected_image.jpg,1
dataset\owner\WFHU5137783-2.jpg,0
dataset\shipper\WFHU5094254_140604_04.jpg,1
dataset\owner\WFHU1349824_130812_04.jpg,0
dataset\shipper\1707_selected_image.jpg,1
dataset\owner\GESU3206026_130624_01.jpg,0
dataset\shipper\293_selected_image.jpg,1
dataset\owner\810_selected_image.jpg,0
dataset\owner\WFHU5132930_130723_02.jpg,0
dataset\owner\128_selected_image.jpg,0
dataset\shipper\2496_selected_image.jpg,1
dataset\owner\XINU8194027_130726_01.jpg,0
dataset\owner\GESU3262729_140618_02.jpg,0
dataset\shipper\GESU5291285_140604_03.jpg,1
dataset\shipper\985_selected_image.jpg,1
dataset\shipper\76_selected_image.jpg,1
dataset\shipper\1392_selected_image.jpg,1
dataset\owner\KWLU5122818_131118_01.jpg,0
dataset\shipper\72_selected_image.jpg,1
dataset\owner\GESU3904032_131207_03.jpg,0
dataset\shipper\KWLU2970712_131207_04.jpg,1
dataset\shipper\133_selected_image.jpg,1
dataset\owner\KWLU2090656_140624_01.jpg,0
dataset\shipper\2638_selected_image.jpg,1
dataset\owner\GVCU5068063-3.jpg,0
dataset\shipper\1810_selected_image.jpg,1
dataset\shipper\CAXU6605100_140603_04.jpg,1
dataset\owner\1948_selected_image.jpg,0
dataset\owner\KWLU2091544_131004_04.jpg,0
dataset\shipper\2087_selected_image.jpg,1
dataset\owner\1635_selected_image.jpg,0
dataset\shipper\2216_selected_image.jpg,1
dataset\owner\1128_selected_image.jpg,0
dataset\owner\KWLU2092480_131209_01.jpg,0
dataset\owner\GESU1299035_140616_02.jpg,0
dataset\owner\54_selected_image.jpg,0
dataset\shipper\GESU5555768_140506_10.jpg,1
dataset\owner\KWLU2070330_140227_05.jpg,0
dataset\owner\2003_selected_image.jpg,0
dataset\owner\TGHU6256105-3.jpg,0
dataset\shipper\1463_selected_image.jpg,1
dataset\shipper\2558_selected_image.jpg,1
dataset\owner\434_selected_image.jpg,0
dataset\owner\86_selected_image.jpg,0
dataset\owner\1132_selected_image.jpg,0
dataset\owner\TEMU2425150-.JPG,0
dataset\shipper\1706_selected_image.jpg,1
dataset\owner\GESU5763484-B.jpg,0
dataset\owner\GESU3904156_130507_04.jpg,0
dataset\owner\GESU3904942_140210_02.jpg,0
dataset\owner\676_selected_image.jpg,0
dataset\shipper\3270_selected_image.jpg,1
dataset\owner\1417_selected_image.jpg,0
dataset\owner\2073_selected_image.jpg,0
dataset\owner\2126_selected_image.jpg,0
dataset\owner\246_selected_image.jpg,0
dataset\shipper\DSCF6265_0.jpg,1
dataset\owner\GESU5424710_130617_07.jpg,0
dataset\owner\FSCU 6820259-2.jpg,0
dataset\owner\KWLU2092812_130507_02.jpg,0
dataset\owner\KWLU4070279_131004_02.jpg,0
dataset\shipper\2990_selected_image.jpg,1
dataset\shipper\988_selected_image.jpg,1
dataset\shipper\234_selected_image.jpg,1
dataset\shipper\2140_selected_image.jpg,1
dataset\owner\728_selected_image.jpg,0
dataset\shipper\104_selected_image.jpg,1
dataset\owner\722_selected_image.jpg,0
dataset\shipper\KWLU2970311_140531_02.jpg,1
dataset\shipper\GESU5532377_140611_03.jpg,1
dataset\shipper\788_selected_image.jpg,1
dataset\shipper\2039_selected_image.jpg,1
dataset\shipper\KWLU2091797_131224_05.jpg,1
dataset\owner\348_selected_image.jpg,0
dataset\shipper\1317_selected_image.jpg,1
dataset\shipper\695_selected_image.jpg,1
dataset\owner\766_selected_image.jpg,0
dataset\owner\GESU5444337-B.jpg,0
dataset\owner\KWLU2121130_130610_01.jpg,0
dataset\owner\KWLU2070794_130805_04.jpg,0
dataset\owner\KWLU2070829_140210_06.jpg,0
dataset\shipper\1956_selected_image.jpg,1
dataset\shipper\KWLU2091797_131224_04.jpg,1
dataset\owner\200_selected_image.jpg,0
dataset\shipper\GESU6919530_140624_03.jpg,1
dataset\shipper\822_selected_image.jpg,1
dataset\owner\GESU3902739_130619_05.jpg,0
dataset\owner\804_selected_image.jpg,0
dataset\shipper\2360_selected_image.jpg,1
dataset\owner\1910_selected_image.jpg,0
dataset\owner\439_selected_image.jpg,0
dataset\shipper\1354_selected_image.jpg,1
dataset\shipper\2357_selected_image.jpg,1
dataset\shipper\TGHU6549968_131126_05.jpg,1
dataset\owner\KWLU2122922_131220_01.jpg,0
dataset\shipper\2702_selected_image.jpg,1
dataset\owner\GESU1405667_140219_06.jpg,0
dataset\owner\22.jpg,0
dataset\shipper\GESU5226037-2.jpg,1
dataset\shipper\GESU2723940_140227_07.jpg,1
dataset\owner\TEMU2421149_140512_01.jpg,0
dataset\shipper\1659_selected_image.jpg,1
dataset\owner\745_selected_image.jpg,0
dataset\owner\TGHU6257992_131007_11.jpg,0
dataset\owner\GESU3904201_130603_04.jpg,0
dataset\shipper\1699_selected_image.jpg,1
dataset\shipper\FSCU 6820259-3.jpg,1
dataset\shipper\958_selected_image.jpg,1
dataset\shipper\548_selected_image.jpg,1
dataset\owner\1909_selected_image.jpg,0
dataset\shipper\1846_selected_image.jpg,1
dataset\owner\1238_selected_image.jpg,0
