img_path,label
dataset\SHIPPER\58_selected_image (2).jpg,1
dataset\CARRIER\541_selected_image (4).jpg,0
dataset\CARRIER\2248_selected_image.jpg,0
dataset\CARRIER\50_selected_image (3).jpg,0
dataset\CARRIER\KWLU5130670_140617_01.jpg,0
dataset\CARRIER\89_selected_image (2).jpg,0
dataset\CARRIER\1992_selected_image.jpg,0
dataset\SHIPPER\293_selected_image (4).jpg,1
dataset\CARRIER\KWLU2536500-2.jpg,0
dataset\SHIPPER\1069_selected_image (2).jpg,1
dataset\CARRIER\977_selected_image (4).jpg,0
dataset\CARRIER\1513_selected_image (2).jpg,0
dataset\CARRIER\521_selected_image.jpg,0
dataset\SHIPPER\1161_selected_image (3).jpg,1
dataset\SHIPPER\1548_selected_image (2).jpg,1
dataset\SHIPPER\1655_selected_image (3).jpg,1
dataset\CARRIER\KWLU2121253_130603_01.jpg,0
dataset\SHIPPER\KWLU2091797_131224_04.jpg,1
dataset\SHIPPER\314_selected_image (4).jpg,1
dataset\CARRIER\KWLU2090050_140307_03.jpg,0
dataset\CARRIER\85_selected_image (4).jpg,0
dataset\CARRIER\1298_selected_image.jpg,0
dataset\CARRIER\997_selected_image (3).jpg,0
dataset\SHIPPER\1544_selected_image.jpg,1
dataset\CARRIER\525_selected_image (4).jpg,0
dataset\SHIPPER\254_selected_image (4).jpg,1
dataset\SHIPPER\2187_selected_image (2).jpg,1
dataset\SHIPPER\1996_selected_image (2).jpg,1
dataset\SHIPPER\KWLU2070285_130520_02.jpg,1
dataset\CARRIER\1796_selected_image.jpg,0
dataset\CARRIER\1241_selected_image (2).jpg,0
dataset\SHIPPER\87_selected_image (4).jpg,1
dataset\CARRIER\1697_selected_image.jpg,0
dataset\CARRIER\KWLU2120370_130720_03.jpg,0
dataset\SHIPPER\1777_selected_image (3).jpg,1
dataset\CARRIER\1696_selected_image (2).jpg,0
dataset\SHIPPER\889_selected_image (2).jpg,1
dataset\SHIPPER\KWLU 2091483-3.JPG,1
dataset\CARRIER\62_selected_image (4).jpg,0
dataset\SHIPPER\WFHU 1350403-1.JPG,1
dataset\CARRIER\2009_selected_image.jpg,0
dataset\CARRIER\142_selected_image (3).jpg,0
dataset\CARRIER\33_selected_image.jpg,0
dataset\SHIPPER\2014_selected_image (2).jpg,1
dataset\CARRIER\GESU2890968_130618_03.jpg,0
dataset\CARRIER\157_selected_image (4).jpg,0
dataset\CARRIER\168_selected_image (3).jpg,0
dataset\SHIPPER\KWLU4070387_131004_03.jpg,1
dataset\SHIPPER\180_selected_image.jpg,1
dataset\SHIPPER\461_selected_image (2).jpg,1
dataset\CARRIER\KWLU2970029_130930_03.jpg,0
dataset\SHIPPER\KWLU2120236_140609_02 (2).jpg,1
dataset\SHIPPER\2275_selected_image (2).jpg,1
dataset\SHIPPER\GESU 3904752-2.jpg,1
dataset\CARRIER\GESU3904942+.JPG,0
dataset\SHIPPER\KWLU2090635_130626_02.jpg,1
dataset\CARRIER\1375_selected_image (3).jpg,0
dataset\SHIPPER\51_selected_image.jpg,1
dataset\SHIPPER\1239_selected_image (2).jpg,1
dataset\CARRIER\KWLU2070182_131004_05.jpg,0
dataset\SHIPPER\GESU1407757_140618_02.jpg,1
dataset\SHIPPER\962_selected_image (3).jpg,1
dataset\SHIPPER\1962_selected_image (3).jpg,1
dataset\SHIPPER\1714_selected_image.jpg,1
dataset\CARRIER\1527_selected_image.jpg,0
dataset\CARRIER\981_selected_image (3).jpg,0
dataset\SHIPPER\CRXU9830692_140617_02.jpg,1
dataset\CARRIER\1620_selected_image (2).jpg,0
dataset\SHIPPER\40_selected_image (2).jpg,1
dataset\CARRIER\844_selected_image.jpg,0
dataset\CARRIER\KWLU5091759-1.jpg,0
dataset\CARRIER\517_selected_image.jpg,0
dataset\SHIPPER\972_selected_image (3).jpg,1
dataset\SHIPPER\GESU3904217_130507_03.jpg,1
dataset\CARRIER\2348_selected_image.jpg,0
dataset\CARRIER\414_selected_image.jpg,0
dataset\SHIPPER\2212_selected_image.jpg,1
dataset\CARRIER\482_selected_image (2).jpg,0
dataset\CARRIER\368_selected_image.jpg,0
dataset\CARRIER\242_selected_image.jpg,0
dataset\CARRIER\619_selected_image (4).jpg,0
dataset\CARRIER\GESU2632602_140219_02.jpg,0
dataset\CARRIER\809_selected_image (3).jpg,0
dataset\SHIPPER\1109_selected_image (4).jpg,1
dataset\CARRIER\323_selected_image (3).jpg,0
dataset\SHIPPER\1734_selected_image (3).jpg,1
dataset\SHIPPER\220182_0.jpg,1
dataset\CARRIER\1949_selected_image (2).jpg,0
dataset\SHIPPER\1386_selected_image (2).jpg,1
dataset\SHIPPER\2067_selected_image.jpg,1
dataset\SHIPPER\1500_selected_image (2).jpg,1
dataset\SHIPPER\337_selected_image (4).jpg,1
dataset\CARRIER\423_selected_image (2).jpg,0
dataset\SHIPPER\1286_selected_image (2).jpg,1
dataset\CARRIER\1124_selected_image (3).jpg,0
dataset\CARRIER\1350_selected_image.jpg,0
dataset\CARRIER\518_selected_image (3).jpg,0
dataset\CARRIER\XINU8196230_131001_04.jpg,0
dataset\CARRIER\GESU5115898_140606_05.jpg,0
dataset\CARRIER\1844_selected_image (2).jpg,0
dataset\SHIPPER\394_selected_image (2).jpg,1
dataset\CARRIER\KWLU2092200_130613_03.jpg,0
dataset\SHIPPER\1628_selected_image (2).jpg,1
dataset\CARRIER\58_selected_image (4).jpg,0
dataset\CARRIER\GESU3033698_130611_07.jpg,0
dataset\CARRIER\2354_selected_image.jpg,0
dataset\SHIPPER\GESU 3902791-1.JPG,1
dataset\CARRIER\1278_selected_image (3).jpg,0
dataset\SHIPPER\672_selected_image.jpg,1
dataset\SHIPPER\1505_selected_image (2).jpg,1
dataset\CARRIER\2190_selected_image.jpg,0
dataset\CARRIER\659_selected_image (3).jpg,0
dataset\CARRIER\TTNU1717571_140618_03.jpg,0
dataset\CARRIER\460_selected_image (3).jpg,0
dataset\SHIPPER\633_selected_image (3).jpg,1
dataset\CARRIER\708_selected_image (3).jpg,0
dataset\SHIPPER\1771_selected_image (2).jpg,1
dataset\CARRIER\964_selected_image (2).jpg,0
dataset\CARRIER\379_selected_image.jpg,0
dataset\SHIPPER\1844_selected_image.jpg,1
dataset\SHIPPER\GESU6379766_131004_04.jpg,1
dataset\SHIPPER\2061_selected_image.jpg,1
dataset\CARRIER\KWLU2070496-3.jpg,0
dataset\SHIPPER\651_selected_image (4).jpg,1
dataset\CARRIER\661_selected_image (3).jpg,0
dataset\CARRIER\840_selected_image (3).jpg,0
dataset\SHIPPER\GESU2723929_140219_03.jpg,1
dataset\SHIPPER\KKTU7291359_130520_02.jpg,1
dataset\CARRIER\313_selected_image (2).jpg,0
dataset\CARRIER\1411_selected_image.jpg,0
dataset\CARRIER\1621_selected_image (2).jpg,0
dataset\CARRIER\KWLU2091919_140603_02.jpg,0
dataset\CARRIER\212_selected_image (2).jpg,0
dataset\SHIPPER\1674_selected_image (2).jpg,1
dataset\CARRIER\KWLU2070011_140618_03.jpg,0
dataset\CARRIER\2112_selected_image.jpg,0
dataset\SHIPPER\2040_selected_image (3).jpg,1
dataset\SHIPPER\2019_selected_image (3).jpg,1
dataset\CARRIER\2043_selected_image (2).jpg,0
dataset\CARRIER\GESU6575291-2.jpg,0
dataset\CARRIER\GESU1406370_130604_02.jpg,0
dataset\CARRIER\1988_selected_image.jpg,0
dataset\SHIPPER\1777_selected_image.jpg,1
dataset\SHIPPER\303_selected_image (4).jpg,1
dataset\CARRIER\305_selected_image (4).jpg,0
dataset\SHIPPER\2213_selected_image (2).jpg,1
dataset\SHIPPER\1329_selected_image.jpg,1
dataset\SHIPPER\1666_selected_image (3).jpg,1
dataset\CARRIER\1628_selected_image.jpg,0
dataset\CARRIER\1248_selected_image (3).jpg,0
dataset\CARRIER\881_selected_image (2).jpg,0
dataset\SHIPPER\441_selected_image (3).jpg,1
dataset\CARRIER\KWLU 2121309-3.jpg,0
dataset\CARRIER\765_selected_image.jpg,0
dataset\CARRIER\GESU3903627_130930_02.jpg,0
dataset\SHIPPER\937_selected_image (2).jpg,1
dataset\SHIPPER\1032_selected_image (2).jpg,1
dataset\CARRIER\GESU6379555_131004_02.jpg,0
dataset\SHIPPER\39_selected_image (4).jpg,1
dataset\CARRIER\1137_selected_image (2).jpg,0
dataset\SHIPPER\1263_selected_image.jpg,1
dataset\CARRIER\708_selected_image (4).jpg,0
dataset\CARRIER\KWLU2091992-1.jpg,0
dataset\SHIPPER\1460_selected_image.jpg,1
dataset\SHIPPER\1747_selected_image.jpg,1
dataset\CARRIER\1745_selected_image.jpg,0
dataset\SHIPPER\1126_selected_image (4).jpg,1
dataset\CARRIER\1649_selected_image.jpg,0
dataset\CARRIER\950_selected_image.jpg,0
dataset\SHIPPER\1942_selected_image.jpg,1
dataset\SHIPPER\570_selected_image (2).jpg,1
dataset\SHIPPER\706_selected_image (4).jpg,1
dataset\CARRIER\615_selected_image (4).jpg,0
dataset\CARRIER\352_selected_image (2).jpg,0
dataset\SHIPPER\2056_selected_image (2).jpg,1
dataset\CARRIER\1725_selected_image.jpg,0
dataset\CARRIER\197_selected_image.jpg,0
dataset\CARRIER\791_selected_image (4).jpg,0
dataset\CARRIER\1830_selected_image.jpg,0
dataset\SHIPPER\1330_selected_image (2).jpg,1
dataset\CARRIER\426_selected_image (2).jpg,0
dataset\CARRIER\683_selected_image (3).jpg,0
dataset\SHIPPER\GESU1407335_140625_03.jpg,1
dataset\CARRIER\1491_selected_image.jpg,0
dataset\SHIPPER\31_selected_image (4).jpg,1
dataset\SHIPPER\113_selected_image (2).jpg,1
dataset\CARRIER\150_selected_image.jpg,0
dataset\SHIPPER\327_selected_image (3).jpg,1
dataset\SHIPPER\WFHU 1285817-3.jpg,1
dataset\SHIPPER\1262_selected_image (3).jpg,1
dataset\SHIPPER\26_selected_image (2).jpg,1
dataset\SHIPPER\1617_selected_image (3).jpg,1
dataset\SHIPPER\1377_selected_image (2).jpg,1
dataset\SHIPPER\1674_selected_image.jpg,1
dataset\SHIPPER\1613_selected_image.jpg,1
dataset\CARRIER\XINU8196210_140612_03.jpg,0
dataset\CARRIER\GESU6575120-4.jpg,0
dataset\SHIPPER\1699_selected_image.jpg,1
dataset\SHIPPER\625_selected_image (3).jpg,1
dataset\CARRIER\GESU2942547_140609_02.jpg,0
dataset\SHIPPER\1472_selected_image (3).jpg,1
dataset\CARRIER\172_selected_image (3).jpg,0
dataset\SHIPPER\444_selected_image (4).jpg,1
dataset\CARRIER\FSCU7538511_131207_02.jpg,0
dataset\CARRIER\GESU1299035_140616_07.jpg,0
dataset\SHIPPER\791_selected_image.jpg,1
dataset\CARRIER\1557_selected_image.jpg,0
dataset\SHIPPER\590_selected_image.jpg,1
dataset\SHIPPER\601_selected_image (3).jpg,1
dataset\CARRIER\411_selected_image (3).jpg,0
dataset\SHIPPER\237_selected_image (3).jpg,1
dataset\SHIPPER\843_selected_image (3).jpg,1
dataset\CARRIER\348_selected_image (4).jpg,0
dataset\SHIPPER\1222_selected_image (3).jpg,1
dataset\CARRIER\TEMU2420461-2.jpg,0
dataset\CARRIER\291_selected_image (2).jpg,0
dataset\SHIPPER\KWLU 2503580-1.jpg,1
dataset\CARRIER\20_selected_image.jpg,0
dataset\CARRIER\KWLU5091050-C.jpg,0
dataset\CARRIER\GESU2980927_140219_04.jpg,0
dataset\SHIPPER\78_selected_image.jpg,1
dataset\SHIPPER\KWLU5845186_131004_05.jpg,1
dataset\CARRIER\410_selected_image (3).jpg,0
dataset\SHIPPER\1277_selected_image (3).jpg,1
dataset\CARRIER\KWLU5120820_130723_04.jpg,0
dataset\CARRIER\443_selected_image.jpg,0
dataset\SHIPPER\KWCU 3616473-2.jpg,1
dataset\SHIPPER\1642_selected_image (2).jpg,1
dataset\SHIPPER\GESU 2491084-3.jpg,1
dataset\SHIPPER\253_selected_image (2).jpg,1
dataset\CARRIER\755_selected_image (3).jpg,0
dataset\CARRIER\KWLU2071002_130618_02.jpg,0
dataset\SHIPPER\837_selected_image (3).jpg,1
dataset\CARRIER\46_selected_image.jpg,0
dataset\CARRIER\GESU 3902868-1.jpg,0
dataset\SHIPPER\TEMU2421133_131118_03.jpg,1
dataset\SHIPPER\1854_selected_image.jpg,1
dataset\CARRIER\GESU5424710_130617_02.jpg,0
dataset\SHIPPER\700_selected_image (4).jpg,1
dataset\CARRIER\917_selected_image (2).jpg,0
dataset\SHIPPER\344_selected_image (3).jpg,1
dataset\SHIPPER\870_selected_image (2).jpg,1
dataset\SHIPPER\KWLU 2091267-2.JPG,1
dataset\CARRIER\1741_selected_image (2).jpg,0
dataset\SHIPPER\488_selected_image (2).jpg,1
dataset\SHIPPER\1568_selected_image (2).jpg,1
dataset\SHIPPER\GESU3106562_130731_01.jpg,1
dataset\SHIPPER\1692_selected_image (2).jpg,1
dataset\SHIPPER\652_selected_image.jpg,1
dataset\CARRIER\725_selected_image.jpg,0
dataset\SHIPPER\1108_selected_image (2).jpg,1
dataset\SHIPPER\138_selected_image (2).jpg,1
dataset\CARRIER\TEMU 2421555-2.jpg,0
dataset\CARRIER\KWLU5131764_140604_05.jpg,0
dataset\CARRIER\1516_selected_image.jpg,0
dataset\CARRIER\261_selected_image.jpg,0
dataset\CARRIER\1737_selected_image.jpg,0
dataset\CARRIER\2259_selected_image.jpg,0
dataset\CARRIER\187_selected_image (4).jpg,0
dataset\CARRIER\616_selected_image.jpg,0
dataset\SHIPPER\2162_selected_image (2).jpg,1
dataset\SHIPPER\1821_selected_image (3).jpg,1
dataset\CARRIER\1175_selected_image (2).jpg,0
dataset\SHIPPER\1794_selected_image (2).jpg,1
dataset\SHIPPER\1020_selected_image.jpg,1
dataset\CARRIER\装柜前照片4_0.jpg,0
dataset\SHIPPER\952_selected_image (3).jpg,1
